"Código do IBGE";"Código do Município";"Município";"Estado";"Ano de Referência";"Prestadores";"Serviços";"Natureza Jurídica";"FN001 - Receita operacional direta total";"FN002 - Receita operacional direta de água";"FN003 - Receita operacional direta de esgoto";"FN004 - Receita operacional indireta";"FN005 - Receita operacional total (direta + indireta)";"FN006 - Arrecadação total";"FN007 - Receita operacional direta de água exportada (bruta ou tratada)";"FN008 - Créditos de contas a receber";"FN010 - Despesa com pessoal próprio";"FN011 - Despesa com produtos químicos";"FN013 - Despesa com energia elétrica";"FN014 - Despesa com serviços de terceiros";"FN015 - Despesas de Exploração (DEX)";"FN016 - Despesas com juros e encargos do serviço da dívida";"FN017 - Despesas totais com os serviços (DTS)";"FN018 - Despesas capitalizáveis realizadas pelo prestador de serviços";"FN019 - Despesas com depreciação, amortização do ativo diferido e provisão para devedores duvidosos";"FN020 - Despesa com água importada (bruta ou tratada)";"FN021 - Despesas fiscais ou tributárias computadas na DEX";"FN022 - Despesas fiscais ou tributárias não computadas na DEX";"FN023 - Investimento realizado em abastecimento de água pelo prestador de serviços";"FN024 - Investimento realizado em esgotamento sanitário pelo prestador de serviços";"FN026 - Quantidade total de empregados próprios";"FN030 - Investimento com recursos próprios realizado pelo prestador de serviços.";"FN031 - Investimento com recursos onerosos realizado pelo prestador de serviços.";"FN032 - Investimento com recursos não onerosos realizado pelo prestador de serviços.";"FN033 - Investimentos totais realizados pelo prestador de serviços";"FN034 - Despesas com amortizações do serviço da dívida";"FN035 - Despesas com juros e encargos do serviço da dívida, exceto variações monetária e cambial";"FN037 - Despesas totais com o serviço da dívida";"FN041 - Despesas capitalizáveis realizadas pelo(s) município(s)";"FN042 - Investimento realizado em abastecimento de água pelo(s) município(s)";"FN043 - Investimento realizado em esgotamento sanitário pelo(s) município(s)";"FN045 - Investimento com recursos próprios realizado pelo(s) município(s)";"FN046 - Investimento com recursos onerosos realizado pelo(s) município(s)";"FN047 - Investimento com recursos não onerosos realizado pelo(s) município(s)";"FN048 - Investimentos totais realizados pelo(s) município(s)";"FN051 - Despesas capitalizáveis realizadas pelo estado";"FN052 - Investimento realizado em abastecimento de água pelo estado";"FN053 - Investimento realizado em esgotamento sanitário pelo estado";"FN055 - Investimento com recursos próprios realizado pelo estado";"FN056 - Investimento com recursos onerosos realizado pelo estado";"FN057 - Investimento com recursos não onerosos realizado pelo estado";"FN058 - Investimentos totais realizados pelo estado";"QD008 - Quantidade de amostras para turbidez (analisadas)";"QD009 - Quantidade de amostras para turbidez fora do padrão";"QD011 - Quantidades de extravasamentos de esgotos registrados";"QD012 - Duração dos extravasamentos registrados";"QD021 - Quantidade de interrupções sistemáticas";"QD022 - Duração das interrupções sistemáticas";"QD023 - Quantidade de reclamações ou solicitações de serviços";"QD024 - Quantidade de serviços executados";"QD025 - Tempo total de execução dos serviços";"TB011 - Quantidade de empregados administrativos dos agentes públicos (Antigo campo GE050)";"TB012 - Quantidade de empregados administrativos dos agentes privados (Antigo campo GE051)"
1200013;120001;Acrelândia;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;Autarquia;663.546,06;663.546,06;;1.919,34;665.465,40;220.335,05;0,00;2.532.057,00;782.068,28;195.063,59;239.537,46;0,00;1.216.669,33;0,00;1.451.783,51;0,00;;0,00;;0,00;0,00;0,00;16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;175.307,55;0,00;0,00;0,00;175.307,55;175.307,55;168;112;;;365;3.650,00;568;464;6.336,00;;;
1200054;120005;Assis Brasil;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12000540] Prefeitura Municipal de Assis Brasil - PMAB;Água | Res. Sólidos;Autarquia | Administração pública direta;723.713,71;723.713,71;;4.503,08;728.216,79;416.889,76;0,00;1.211.536,00;232.103,28;77.363,18;204.184,55;0,00;513.651,01;0,00;675.292,01;0,00;;0,00;;0,00;0,00;0,00;11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;84.980,97;0,00;0,00;0,00;84.980,97;84.980,97;0;0;;;12;730,00;515;491;6.336,00;4;0;
1200104;120010;Brasiléia;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001040] Secretaria de Obras da Prefeitura de Brasileia - SEMOTUR;Água | Res. Sólidos;Autarquia | Administração pública direta;1.984.882,66;1.984.882,66;;21.278,33;2.006.160,99;1.298.917,73;0,00;5.263.052,00;738.838,87;545.285,66;474.197,67;0,00;1.758.322,20;0,00;2.081.604,20;0,00;;0,00;;0,00;0,00;0,00;22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;297.693,89;0,00;0,00;0,00;297.693,89;297.693,89;0;0;;;365;2.190,00;1.059;1.001;14.784,00;3;0;
1200138;120013;Bujari;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001340] Prefeitura Municipal de Bujari - PMB;Água | Res. Sólidos;Autarquia | Administração pública direta;647.261,88;647.261,88;;1.041,13;648.303,01;248.771,56;0,00;1.974.839,00;1.161.700,93;191.132,19;321.795,70;0,00;1.674.628,82;0,00;1.909.742,10;0,00;;0,00;;0,00;0,00;0,00;16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;165;109;;;365;4.380,00;177;155;6.336,00;2;0;
1200179;120017;Capixaba;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001740] Prefeitura Municipal - PM;Água | Res. Sólidos;Autarquia | Administração pública direta;602.726,79;602.726,79;;8.450,34;611.177,13;288.948,68;0,00;1.911.909,00;586.004,08;81.415,26;139.126,33;0,00;806.545,67;0,00;997.575,94;0,00;;0,00;;0,00;0,00;0,00;13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168;55;;;12;5.110,00;235;216;4.224,00;1;;
1200203;120020;Cruzeiro do Sul;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12002040] Secretaria municipal de Infraestrutura e Obras Públicas - SMIOP;Água | Res. Sólidos;Autarquia | Administração pública direta;5.489.983,88;5.489.983,88;;19.516,77;5.509.500,65;1.839.730,83;0,00;19.275.314,00;2.938.523,32;183.524,92;3.037.093,53;0,00;6.159.141,77;0,00;7.408.185,85;0,00;;0,00;;0,00;0,00;0,00;85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.126;60;;;365;2.190,00;1.926;1.785;23.232,00;6;;
1200252;120025;Epitaciolândia;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;Autarquia;1.601.562,93;1.601.562,93;;6.549,76;1.608.112,69;798.553,55;0,00;5.149.027,00;687.452,40;317.584,54;411.198,52;0,00;1.416.235,46;0,00;1.695.433,55;0,00;;0,00;;0,00;0,00;0,00;19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.909;2.906;;;365;2.920,00;741;675;10.560,00;;;
1200302;120030;Feijó;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;Autarquia;993.895,82;993.895,82;;16.710,11;1.010.605,93;571.824,76;0,00;2.101.127,00;500.151,13;430.737,78;223.537,33;0,00;1.154.426,24;0,00;1.433.624,33;0,00;;0,00;;0,00;0,00;0,00;19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101;59;;;365;2.190,00;722;664;12.672,00;;;
1200328;120032;Jordão;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;Autarquia;468.272,56;468.272,56;;1.989,19;470.261,75;204.538,06;0,00;1.271.706,00;258.929,88;91.361,90;65.919,11;0,00;416.210,89;0,00;563.157,26;0,00;;0,00;;0,00;0,00;0,00;10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.029.108,40;0,00;0,00;2.633.967,04;395.141,36;3.029.108,40;0;0;;;365;2.372,00;117;110;4.224,00;;;
1200336;120033;Mâncio Lima;AC;2019;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12003340] Secretaria Municipal de Obras e Urbanismo - SEMOUR;Água | Res. Sólidos;Autarquia | Administração pública direta;1.866.543,76;1.866.543,76;;15.235,78;1.881.779,54;436.747,27;0,00;6.467.864,00;437.789,25;18.215,82;319.330,56;0,00;775.335,63;0,00;995.755,18;0,00;;0,00;;0,00;0,00;0,00;15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;214;1;;;365;2.190,00;974;918;12.672,00;1;0;
